season,week,window_start,window_end,source_url
18,1,2014-03-17,2014-03-23,weekly7_from_anchor
18,2,2014-03-24,2014-03-30,weekly7_from_anchor
18,3,2014-03-31,2014-04-06,weekly7_from_anchor
18,4,2014-04-07,2014-04-13,weekly7_from_anchor
18,5,2014-04-14,2014-04-20,weekly7_from_anchor
18,6,2014-04-21,2014-04-27,weekly7_from_anchor
18,7,2014-04-28,2014-05-04,weekly7_from_anchor
18,8,2014-05-05,2014-05-11,weekly7_from_anchor
18,9,2014-05-12,2014-05-18,weekly7_from_anchor
18,10,2014-05-19,2014-05-25,weekly7_from_anchor
19,1,2014-09-15,2014-09-21,weekly7_from_anchor
19,2,2014-09-22,2014-09-28,weekly7_from_anchor
19,3,2014-09-29,2014-10-05,weekly7_from_anchor
19,4,2014-10-06,2014-10-12,weekly7_from_anchor
19,5,2014-10-13,2014-10-19,weekly7_from_anchor
19,6,2014-10-20,2014-10-26,weekly7_from_anchor
19,7,2014-10-27,2014-11-02,weekly7_from_anchor
19,8,2014-11-03,2014-11-09,weekly7_from_anchor
19,9,2014-11-10,2014-11-16,weekly7_from_anchor
19,10,2014-11-17,2014-11-23,weekly7_from_anchor
19,11,2014-11-24,2014-11-30,weekly7_from_anchor
20,1,2015-03-16,2015-03-22,weekly7_from_anchor
20,2,2015-03-23,2015-03-29,weekly7_from_anchor
20,3,2015-03-30,2015-04-05,weekly7_from_anchor
20,4,2015-04-06,2015-04-12,weekly7_from_anchor
20,5,2015-04-13,2015-04-19,weekly7_from_anchor
20,6,2015-04-20,2015-04-26,weekly7_from_anchor
20,7,2015-04-27,2015-05-03,weekly7_from_anchor
20,8,2015-05-04,2015-05-10,weekly7_from_anchor
20,9,2015-05-11,2015-05-17,weekly7_from_anchor
20,10,2015-05-18,2015-05-24,weekly7_from_anchor
21,1,2015-09-14,2015-09-20,weekly7_from_anchor
21,2,2015-09-21,2015-09-27,weekly7_from_anchor
21,3,2015-09-28,2015-10-04,weekly7_from_anchor
21,4,2015-10-05,2015-10-11,weekly7_from_anchor
21,5,2015-10-12,2015-10-18,weekly7_from_anchor
21,6,2015-10-19,2015-10-25,weekly7_from_anchor
21,7,2015-10-26,2015-11-01,weekly7_from_anchor
21,8,2015-11-02,2015-11-08,weekly7_from_anchor
21,9,2015-11-09,2015-11-15,weekly7_from_anchor
21,10,2015-11-16,2015-11-22,weekly7_from_anchor
21,11,2015-11-23,2015-11-29,weekly7_from_anchor
22,1,2016-03-21,2016-03-27,weekly7_from_anchor
22,2,2016-03-28,2016-04-03,weekly7_from_anchor
22,3,2016-04-04,2016-04-10,weekly7_from_anchor
22,4,2016-04-11,2016-04-17,weekly7_from_anchor
22,5,2016-04-18,2016-04-24,weekly7_from_anchor
22,6,2016-04-25,2016-05-01,weekly7_from_anchor
22,7,2016-05-02,2016-05-08,weekly7_from_anchor
22,8,2016-05-09,2016-05-15,weekly7_from_anchor
22,9,2016-05-16,2016-05-22,weekly7_from_anchor
22,10,2016-05-23,2016-05-29,weekly7_from_anchor
23,1,2016-09-12,2016-09-18,weekly7_from_anchor
23,2,2016-09-19,2016-09-25,weekly7_from_anchor
23,3,2016-09-26,2016-10-02,weekly7_from_anchor
23,4,2016-10-03,2016-10-09,weekly7_from_anchor
23,5,2016-10-10,2016-10-16,weekly7_from_anchor
23,6,2016-10-17,2016-10-23,weekly7_from_anchor
23,7,2016-10-24,2016-10-30,weekly7_from_anchor
23,8,2016-10-31,2016-11-06,weekly7_from_anchor
23,9,2016-11-07,2016-11-13,weekly7_from_anchor
23,10,2016-11-14,2016-11-20,weekly7_from_anchor
23,11,2016-11-21,2016-11-27,weekly7_from_anchor
24,1,2017-03-20,2017-03-26,weekly7_from_anchor
24,2,2017-03-27,2017-04-02,weekly7_from_anchor
24,3,2017-04-03,2017-04-09,weekly7_from_anchor
24,4,2017-04-10,2017-04-16,weekly7_from_anchor
24,5,2017-04-17,2017-04-23,weekly7_from_anchor
24,6,2017-04-24,2017-04-30,weekly7_from_anchor
24,7,2017-05-01,2017-05-07,weekly7_from_anchor
24,8,2017-05-08,2017-05-14,weekly7_from_anchor
24,9,2017-05-15,2017-05-21,weekly7_from_anchor
24,10,2017-05-22,2017-05-28,weekly7_from_anchor
25,1,2017-09-18,2017-09-24,weekly7_from_anchor
25,2,2017-09-25,2017-10-01,weekly7_from_anchor
25,3,2017-10-02,2017-10-08,weekly7_from_anchor
25,4,2017-10-09,2017-10-15,weekly7_from_anchor
25,5,2017-10-16,2017-10-22,weekly7_from_anchor
25,6,2017-10-23,2017-10-29,weekly7_from_anchor
25,7,2017-10-30,2017-11-05,weekly7_from_anchor
25,8,2017-11-06,2017-11-12,weekly7_from_anchor
25,9,2017-11-13,2017-11-19,weekly7_from_anchor
25,10,2017-11-20,2017-11-26,weekly7_from_anchor
26,1,2018-04-30,2018-05-06,weekly7_from_anchor
26,2,2018-05-07,2018-05-13,weekly7_from_anchor
26,3,2018-05-14,2018-05-20,weekly7_from_anchor
26,4,2018-05-21,2018-05-27,weekly7_from_anchor
27,1,2018-09-24,2018-09-30,weekly7_from_anchor
27,2,2018-10-01,2018-10-07,weekly7_from_anchor
27,3,2018-10-08,2018-10-14,weekly7_from_anchor
27,4,2018-10-15,2018-10-21,weekly7_from_anchor
27,5,2018-10-22,2018-10-28,weekly7_from_anchor
27,6,2018-10-29,2018-11-04,weekly7_from_anchor
27,7,2018-11-05,2018-11-11,weekly7_from_anchor
27,8,2018-11-12,2018-11-18,weekly7_from_anchor
27,9,2018-11-19,2018-11-25,weekly7_from_anchor
28,1,2019-09-16,2019-09-22,weekly7_from_anchor
28,2,2019-09-23,2019-09-29,weekly7_from_anchor
28,3,2019-09-30,2019-10-06,weekly7_from_anchor
28,4,2019-10-07,2019-10-13,weekly7_from_anchor
28,5,2019-10-14,2019-10-20,weekly7_from_anchor
28,6,2019-10-21,2019-10-27,weekly7_from_anchor
28,7,2019-10-28,2019-11-03,weekly7_from_anchor
28,8,2019-11-04,2019-11-10,weekly7_from_anchor
28,9,2019-11-11,2019-11-17,weekly7_from_anchor
28,10,2019-11-18,2019-11-24,weekly7_from_anchor
28,11,2019-11-25,2019-12-01,weekly7_from_anchor
29,1,2020-09-14,2020-09-20,weekly7_from_anchor
29,2,2020-09-21,2020-09-27,weekly7_from_anchor
29,3,2020-09-28,2020-10-04,weekly7_from_anchor
29,4,2020-10-05,2020-10-11,weekly7_from_anchor
29,5,2020-10-12,2020-10-18,weekly7_from_anchor
29,6,2020-10-19,2020-10-25,weekly7_from_anchor
29,7,2020-10-26,2020-11-01,weekly7_from_anchor
29,8,2020-11-02,2020-11-08,weekly7_from_anchor
29,9,2020-11-09,2020-11-15,weekly7_from_anchor
29,10,2020-11-16,2020-11-22,weekly7_from_anchor
29,11,2020-11-23,2020-11-29,weekly7_from_anchor
30,1,2021-09-20,2021-09-26,weekly7_from_anchor
30,2,2021-09-27,2021-10-03,weekly7_from_anchor
30,3,2021-10-04,2021-10-10,weekly7_from_anchor
30,4,2021-10-11,2021-10-17,weekly7_from_anchor
30,5,2021-10-18,2021-10-24,weekly7_from_anchor
30,6,2021-10-25,2021-10-31,weekly7_from_anchor
30,7,2021-11-01,2021-11-07,weekly7_from_anchor
30,8,2021-11-08,2021-11-14,weekly7_from_anchor
30,9,2021-11-15,2021-11-21,weekly7_from_anchor
30,10,2021-11-22,2021-11-28,weekly7_from_anchor
31,1,2022-09-19,2022-09-25,weekly7_from_anchor
31,2,2022-09-26,2022-10-02,weekly7_from_anchor
31,3,2022-10-03,2022-10-09,weekly7_from_anchor
31,4,2022-10-10,2022-10-16,weekly7_from_anchor
31,5,2022-10-17,2022-10-23,weekly7_from_anchor
31,6,2022-10-24,2022-10-30,weekly7_from_anchor
31,7,2022-10-31,2022-11-06,weekly7_from_anchor
31,8,2022-11-07,2022-11-13,weekly7_from_anchor
31,9,2022-11-14,2022-11-20,weekly7_from_anchor
31,10,2022-11-21,2022-11-27,weekly7_from_anchor
32,1,2023-09-26,2023-10-02,weekly7_from_anchor
32,2,2023-10-03,2023-10-09,weekly7_from_anchor
32,3,2023-10-10,2023-10-16,weekly7_from_anchor
32,4,2023-10-17,2023-10-23,weekly7_from_anchor
32,5,2023-10-24,2023-10-30,weekly7_from_anchor
32,6,2023-10-31,2023-11-06,weekly7_from_anchor
32,7,2023-11-07,2023-11-13,weekly7_from_anchor
32,8,2023-11-14,2023-11-20,weekly7_from_anchor
32,9,2023-11-21,2023-11-27,weekly7_from_anchor
32,10,2023-11-28,2023-12-04,weekly7_from_anchor
32,11,2023-12-05,2023-12-11,weekly7_from_anchor
33,1,2024-09-17,2024-09-23,weekly7_from_anchor
33,2,2024-09-24,2024-09-30,weekly7_from_anchor
33,3,2024-10-01,2024-10-07,weekly7_from_anchor
33,4,2024-10-08,2024-10-14,weekly7_from_anchor
33,5,2024-10-15,2024-10-21,weekly7_from_anchor
33,6,2024-10-22,2024-10-28,weekly7_from_anchor
33,7,2024-10-29,2024-11-04,weekly7_from_anchor
33,8,2024-11-05,2024-11-11,weekly7_from_anchor
33,9,2024-11-12,2024-11-18,weekly7_from_anchor
34,1,2025-09-16,2025-09-22,weekly7_from_anchor
34,2,2025-09-23,2025-09-29,weekly7_from_anchor
34,3,2025-09-30,2025-10-06,weekly7_from_anchor
34,4,2025-10-07,2025-10-13,weekly7_from_anchor
34,5,2025-10-14,2025-10-20,weekly7_from_anchor
34,6,2025-10-21,2025-10-27,weekly7_from_anchor
34,7,2025-10-28,2025-11-03,weekly7_from_anchor
34,8,2025-11-04,2025-11-10,weekly7_from_anchor
34,9,2025-11-11,2025-11-17,weekly7_from_anchor
34,10,2025-11-18,2025-11-24,weekly7_from_anchor
34,11,2025-11-25,2025-12-01,weekly7_from_anchor
