season,week,celebrity,trend,timeframe,kw
2,5,Tatum O'Neal,0.0,2006-01-19 2006-01-19,Tatum O'Neal Dancing with the Stars
2,5,Tia Carrere,0.0,2006-01-19 2006-01-19,Tia Carrere Dancing with the Stars
2,5,George Hamilton,0.0,2006-01-19 2006-01-19,George Hamilton Dancing with the Stars
2,5,Lisa Rinna,0.0,2006-01-19 2006-01-19,Lisa Rinna Dancing with the Stars
2,5,Stacy Keibler,0.0,2006-01-19 2006-01-19,Stacy Keibler Dancing with the Stars
2,5,Jerry Rice,0.0,2006-01-19 2006-01-19,Jerry Rice Dancing with the Stars
2,5,Giselle Fernandez,0.0,2006-01-19 2006-01-19,Giselle Fernandez Dancing with the Stars
2,5,Master P,0.0,2006-01-19 2006-01-19,Master P Dancing with the Stars
2,5,Drew Lachey,0.0,2006-01-19 2006-01-19,Drew Lachey Dancing with the Stars
2,5,Kenny Mayne,0.0,2006-01-19 2006-01-19,Kenny Mayne Dancing with the Stars
2,6,Tatum O'Neal,0.0,2006-01-20 2006-01-25,Tatum O'Neal Dancing with the Stars
2,6,Tia Carrere,0.0,2006-01-20 2006-01-25,Tia Carrere Dancing with the Stars
2,6,George Hamilton,0.0,2006-01-20 2006-01-25,George Hamilton Dancing with the Stars
2,6,Lisa Rinna,25.666666666666668,2006-01-20 2006-01-25,Lisa Rinna Dancing with the Stars
2,6,Stacy Keibler,37.0,2006-01-20 2006-01-25,Stacy Keibler Dancing with the Stars
2,6,Jerry Rice,0.0,2006-01-20 2006-01-25,Jerry Rice Dancing with the Stars
2,6,Giselle Fernandez,16.666666666666668,2006-01-20 2006-01-25,Giselle Fernandez Dancing with the Stars
2,6,Master P,0.0,2006-01-20 2006-01-25,Master P Dancing with the Stars
2,6,Drew Lachey,0.0,2006-01-20 2006-01-25,Drew Lachey Dancing with the Stars
2,6,Kenny Mayne,0.0,2006-01-20 2006-01-25,Kenny Mayne Dancing with the Stars
2,7,Tatum O'Neal,0.0,2006-01-26 2006-01-26,Tatum O'Neal Dancing with the Stars
2,7,Tia Carrere,0.0,2006-01-26 2006-01-26,Tia Carrere Dancing with the Stars
2,7,George Hamilton,0.0,2006-01-26 2006-01-26,George Hamilton Dancing with the Stars
2,7,Lisa Rinna,0.0,2006-01-26 2006-01-26,Lisa Rinna Dancing with the Stars
2,7,Stacy Keibler,0.0,2006-01-26 2006-01-26,Stacy Keibler Dancing with the Stars
2,7,Jerry Rice,0.0,2006-01-26 2006-01-26,Jerry Rice Dancing with the Stars
2,7,Giselle Fernandez,0.0,2006-01-26 2006-01-26,Giselle Fernandez Dancing with the Stars
2,7,Master P,0.0,2006-01-26 2006-01-26,Master P Dancing with the Stars
2,7,Drew Lachey,0.0,2006-01-26 2006-01-26,Drew Lachey Dancing with the Stars
2,7,Kenny Mayne,0.0,2006-01-26 2006-01-26,Kenny Mayne Dancing with the Stars
2,8,Tatum O'Neal,0.0,2006-01-27 2006-02-01,Tatum O'Neal Dancing with the Stars
2,8,Tia Carrere,0.0,2006-01-27 2006-02-01,Tia Carrere Dancing with the Stars
2,8,George Hamilton,0.0,2006-01-27 2006-02-01,George Hamilton Dancing with the Stars
2,8,Lisa Rinna,9.833333333333334,2006-01-27 2006-02-01,Lisa Rinna Dancing with the Stars
2,8,Stacy Keibler,29.166666666666668,2006-01-27 2006-02-01,Stacy Keibler Dancing with the Stars
2,8,Jerry Rice,0.0,2006-01-27 2006-02-01,Jerry Rice Dancing with the Stars
2,8,Giselle Fernandez,0.0,2006-01-27 2006-02-01,Giselle Fernandez Dancing with the Stars
2,8,Master P,16.666666666666668,2006-01-27 2006-02-01,Master P Dancing with the Stars
2,8,Drew Lachey,0.0,2006-01-27 2006-02-01,Drew Lachey Dancing with the Stars
2,8,Kenny Mayne,0.0,2006-01-27 2006-02-01,Kenny Mayne Dancing with the Stars
3,1,Harry Hamlin,0.0,2006-09-12 2006-09-12,Harry Hamlin Dancing with the Stars
3,1,Vivica A. Fox,0.0,2006-09-12 2006-09-12,Vivica A. Fox Dancing with the Stars
3,1,Monique Coleman,0.0,2006-09-12 2006-09-12,Monique Coleman Dancing with the Stars
3,1,Joey Lawrence,0.0,2006-09-12 2006-09-12,Joey Lawrence Dancing with the Stars
3,1,Mario Lopez,0.0,2006-09-12 2006-09-12,Mario Lopez Dancing with the Stars
3,1,Emmitt Smith,0.0,2006-09-12 2006-09-12,Emmitt Smith Dancing with the Stars
3,1,Shanna Moakler,0.0,2006-09-12 2006-09-12,Shanna Moakler Dancing with the Stars
3,1,Willa Ford,0.0,2006-09-12 2006-09-12,Willa Ford Dancing with the Stars
3,1,Sara Evans,0.0,2006-09-12 2006-09-12,Sara Evans Dancing with the Stars
3,1,Jerry Springer,0.0,2006-09-12 2006-09-12,Jerry Springer Dancing with the Stars
3,1,Tucker Carlson,0.0,2006-09-12 2006-09-12,Tucker Carlson Dancing with the Stars
3,2,Harry Hamlin,5.5,2006-09-13 2006-09-18,Harry Hamlin Dancing with the Stars
3,2,Vivica A. Fox,0.0,2006-09-13 2006-09-18,Vivica A. Fox Dancing with the Stars
3,2,Monique Coleman,0.0,2006-09-13 2006-09-18,Monique Coleman Dancing with the Stars
3,2,Joey Lawrence,19.5,2006-09-13 2006-09-18,Joey Lawrence Dancing with the Stars
3,2,Mario Lopez,24.833333333333332,2006-09-13 2006-09-18,Mario Lopez Dancing with the Stars
3,2,Emmitt Smith,12.5,2006-09-13 2006-09-18,Emmitt Smith Dancing with the Stars
3,2,Shanna Moakler,16.666666666666668,2006-09-13 2006-09-18,Shanna Moakler Dancing with the Stars
3,2,Willa Ford,27.333333333333332,2006-09-13 2006-09-18,Willa Ford Dancing with the Stars
3,2,Sara Evans,0.0,2006-09-13 2006-09-18,Sara Evans Dancing with the Stars
3,2,Jerry Springer,11.666666666666666,2006-09-13 2006-09-18,Jerry Springer Dancing with the Stars
3,2,Tucker Carlson,31.0,2006-09-13 2006-09-18,Tucker Carlson Dancing with the Stars
3,3,Harry Hamlin,0.0,2006-09-19 2006-09-19,Harry Hamlin Dancing with the Stars
3,3,Vivica A. Fox,0.0,2006-09-19 2006-09-19,Vivica A. Fox Dancing with the Stars
3,3,Monique Coleman,0.0,2006-09-19 2006-09-19,Monique Coleman Dancing with the Stars
3,3,Joey Lawrence,0.0,2006-09-19 2006-09-19,Joey Lawrence Dancing with the Stars
3,3,Mario Lopez,0.0,2006-09-19 2006-09-19,Mario Lopez Dancing with the Stars
3,3,Emmitt Smith,0.0,2006-09-19 2006-09-19,Emmitt Smith Dancing with the Stars
3,3,Shanna Moakler,0.0,2006-09-19 2006-09-19,Shanna Moakler Dancing with the Stars
3,3,Willa Ford,0.0,2006-09-19 2006-09-19,Willa Ford Dancing with the Stars
3,3,Sara Evans,0.0,2006-09-19 2006-09-19,Sara Evans Dancing with the Stars
3,3,Jerry Springer,0.0,2006-09-19 2006-09-19,Jerry Springer Dancing with the Stars
3,3,Tucker Carlson,0.0,2006-09-19 2006-09-19,Tucker Carlson Dancing with the Stars
3,4,Harry Hamlin,0.0,2006-09-20 2006-09-25,Harry Hamlin Dancing with the Stars
3,4,Vivica A. Fox,0.0,2006-09-20 2006-09-25,Vivica A. Fox Dancing with the Stars
3,4,Monique Coleman,0.0,2006-09-20 2006-09-25,Monique Coleman Dancing with the Stars
3,4,Joey Lawrence,23.5,2006-09-20 2006-09-25,Joey Lawrence Dancing with the Stars
3,4,Mario Lopez,19.833333333333332,2006-09-20 2006-09-25,Mario Lopez Dancing with the Stars
3,4,Emmitt Smith,0.0,2006-09-20 2006-09-25,Emmitt Smith Dancing with the Stars
3,4,Shanna Moakler,24.5,2006-09-20 2006-09-25,Shanna Moakler Dancing with the Stars
3,4,Willa Ford,28.333333333333332,2006-09-20 2006-09-25,Willa Ford Dancing with the Stars
3,4,Sara Evans,10.333333333333334,2006-09-20 2006-09-25,Sara Evans Dancing with the Stars
3,4,Jerry Springer,0.0,2006-09-20 2006-09-25,Jerry Springer Dancing with the Stars
3,4,Tucker Carlson,0.0,2006-09-20 2006-09-25,Tucker Carlson Dancing with the Stars
3,5,Harry Hamlin,0.0,2006-09-26 2006-09-26,Harry Hamlin Dancing with the Stars
3,5,Vivica A. Fox,0.0,2006-09-26 2006-09-26,Vivica A. Fox Dancing with the Stars
3,5,Monique Coleman,0.0,2006-09-26 2006-09-26,Monique Coleman Dancing with the Stars
3,5,Joey Lawrence,0.0,2006-09-26 2006-09-26,Joey Lawrence Dancing with the Stars
3,5,Mario Lopez,0.0,2006-09-26 2006-09-26,Mario Lopez Dancing with the Stars
3,5,Emmitt Smith,0.0,2006-09-26 2006-09-26,Emmitt Smith Dancing with the Stars
3,5,Shanna Moakler,0.0,2006-09-26 2006-09-26,Shanna Moakler Dancing with the Stars
3,5,Willa Ford,0.0,2006-09-26 2006-09-26,Willa Ford Dancing with the Stars
3,5,Sara Evans,0.0,2006-09-26 2006-09-26,Sara Evans Dancing with the Stars
3,5,Jerry Springer,0.0,2006-09-26 2006-09-26,Jerry Springer Dancing with the Stars
3,5,Tucker Carlson,0.0,2006-09-26 2006-09-26,Tucker Carlson Dancing with the Stars
3,6,Harry Hamlin,0.0,2006-09-27 2006-10-02,Harry Hamlin Dancing with the Stars
3,6,Vivica A. Fox,0.0,2006-09-27 2006-10-02,Vivica A. Fox Dancing with the Stars
3,6,Monique Coleman,9.0,2006-09-27 2006-10-02,Monique Coleman Dancing with the Stars
3,6,Joey Lawrence,9.833333333333334,2006-09-27 2006-10-02,Joey Lawrence Dancing with the Stars
3,6,Mario Lopez,23.333333333333332,2006-09-27 2006-10-02,Mario Lopez Dancing with the Stars
3,6,Emmitt Smith,0.0,2006-09-27 2006-10-02,Emmitt Smith Dancing with the Stars
3,6,Shanna Moakler,0.0,2006-09-27 2006-10-02,Shanna Moakler Dancing with the Stars
3,6,Willa Ford,26.666666666666668,2006-09-27 2006-10-02,Willa Ford Dancing with the Stars
3,6,Sara Evans,12.333333333333334,2006-09-27 2006-10-02,Sara Evans Dancing with the Stars
3,6,Jerry Springer,0.0,2006-09-27 2006-10-02,Jerry Springer Dancing with the Stars
3,6,Tucker Carlson,0.0,2006-09-27 2006-10-02,Tucker Carlson Dancing with the Stars
3,7,Harry Hamlin,0.0,2006-10-03 2006-10-03,Harry Hamlin Dancing with the Stars
3,7,Vivica A. Fox,0.0,2006-10-03 2006-10-03,Vivica A. Fox Dancing with the Stars
3,7,Monique Coleman,0.0,2006-10-03 2006-10-03,Monique Coleman Dancing with the Stars
3,7,Joey Lawrence,0.0,2006-10-03 2006-10-03,Joey Lawrence Dancing with the Stars
3,7,Mario Lopez,0.0,2006-10-03 2006-10-03,Mario Lopez Dancing with the Stars
3,7,Emmitt Smith,0.0,2006-10-03 2006-10-03,Emmitt Smith Dancing with the Stars
3,7,Shanna Moakler,0.0,2006-10-03 2006-10-03,Shanna Moakler Dancing with the Stars
3,7,Willa Ford,0.0,2006-10-03 2006-10-03,Willa Ford Dancing with the Stars
3,7,Sara Evans,0.0,2006-10-03 2006-10-03,Sara Evans Dancing with the Stars
3,7,Jerry Springer,0.0,2006-10-03 2006-10-03,Jerry Springer Dancing with the Stars
3,7,Tucker Carlson,0.0,2006-10-03 2006-10-03,Tucker Carlson Dancing with the Stars
3,8,Harry Hamlin,0.0,2006-10-04 2006-10-09,Harry Hamlin Dancing with the Stars
3,8,Vivica A. Fox,0.0,2006-10-04 2006-10-09,Vivica A. Fox Dancing with the Stars
3,8,Monique Coleman,0.0,2006-10-04 2006-10-09,Monique Coleman Dancing with the Stars
3,8,Joey Lawrence,6.333333333333333,2006-10-04 2006-10-09,Joey Lawrence Dancing with the Stars
3,8,Mario Lopez,32.833333333333336,2006-10-04 2006-10-09,Mario Lopez Dancing with the Stars
3,8,Emmitt Smith,0.0,2006-10-04 2006-10-09,Emmitt Smith Dancing with the Stars
3,8,Shanna Moakler,8.333333333333334,2006-10-04 2006-10-09,Shanna Moakler Dancing with the Stars
3,8,Willa Ford,33.333333333333336,2006-10-04 2006-10-09,Willa Ford Dancing with the Stars
3,8,Sara Evans,14.0,2006-10-04 2006-10-09,Sara Evans Dancing with the Stars
3,8,Jerry Springer,7.0,2006-10-04 2006-10-09,Jerry Springer Dancing with the Stars
3,8,Tucker Carlson,0.0,2006-10-04 2006-10-09,Tucker Carlson Dancing with the Stars
3,9,Harry Hamlin,0.0,2006-10-10 2006-10-10,Harry Hamlin Dancing with the Stars
3,9,Vivica A. Fox,0.0,2006-10-10 2006-10-10,Vivica A. Fox Dancing with the Stars
3,9,Monique Coleman,0.0,2006-10-10 2006-10-10,Monique Coleman Dancing with the Stars
3,9,Joey Lawrence,0.0,2006-10-10 2006-10-10,Joey Lawrence Dancing with the Stars
3,9,Mario Lopez,0.0,2006-10-10 2006-10-10,Mario Lopez Dancing with the Stars
3,9,Emmitt Smith,0.0,2006-10-10 2006-10-10,Emmitt Smith Dancing with the Stars
3,9,Shanna Moakler,0.0,2006-10-10 2006-10-10,Shanna Moakler Dancing with the Stars
3,9,Willa Ford,0.0,2006-10-10 2006-10-10,Willa Ford Dancing with the Stars
3,9,Sara Evans,0.0,2006-10-10 2006-10-10,Sara Evans Dancing with the Stars
3,9,Jerry Springer,0.0,2006-10-10 2006-10-10,Jerry Springer Dancing with the Stars
3,9,Tucker Carlson,0.0,2006-10-10 2006-10-10,Tucker Carlson Dancing with the Stars
3,10,Harry Hamlin,0.0,2006-10-11 2006-10-16,Harry Hamlin Dancing with the Stars
3,10,Vivica A. Fox,0.0,2006-10-11 2006-10-16,Vivica A. Fox Dancing with the Stars
3,10,Monique Coleman,0.0,2006-10-11 2006-10-16,Monique Coleman Dancing with the Stars
3,10,Joey Lawrence,5.833333333333333,2006-10-11 2006-10-16,Joey Lawrence Dancing with the Stars
3,10,Mario Lopez,28.166666666666668,2006-10-11 2006-10-16,Mario Lopez Dancing with the Stars
