season,week,celebrity_name,wiki_title,wiki_edits_week,wiki_editors_week,wiki_bytes_net_week,window_start,window_end,status
2,3,Drew Lachey,Drew Lachey,2,1,0,2006-01-19,2006-01-25,OK
2,4,Drew Lachey,Drew Lachey,0,0,0,2006-01-26,2006-02-01,OK
2,5,Drew Lachey,Drew Lachey,2,2,0,2006-02-02,2006-02-08,OK
2,6,Drew Lachey,Drew Lachey,12,4,74,2006-02-09,2006-02-15,OK
2,7,Drew Lachey,Drew Lachey,7,4,175,2006-02-16,2006-02-22,OK
2,8,Drew Lachey,Drew Lachey,15,13,-88,2006-02-23,2006-03-01,OK
2,1,George Hamilton,George Hamilton (actor),3,2,37,2006-01-05,2006-01-11,OK
2,2,George Hamilton,George Hamilton (actor),2,2,0,2006-01-12,2006-01-18,OK
2,3,George Hamilton,George Hamilton (actor),5,5,52,2006-01-19,2006-01-25,OK
2,4,George Hamilton,George Hamilton (actor),3,3,0,2006-01-26,2006-02-01,OK
2,5,George Hamilton,George Hamilton (actor),3,3,0,2006-02-02,2006-02-08,OK
2,6,George Hamilton,George Hamilton (actor),6,3,19,2006-02-09,2006-02-15,OK
2,7,George Hamilton,George Hamilton (actor),2,2,0,2006-02-16,2006-02-22,OK
2,8,George Hamilton,George Hamilton (actor),10,7,319,2006-02-23,2006-03-01,OK
2,1,Giselle Fernandez,Giselle Fernández,1,1,0,2006-01-05,2006-01-11,OK
2,2,Giselle Fernandez,Giselle Fernández,0,0,0,2006-01-12,2006-01-18,OK
2,3,Giselle Fernandez,Giselle Fernández,3,3,0,2006-01-19,2006-01-25,OK
2,4,Giselle Fernandez,Giselle Fernández,1,1,0,2006-01-26,2006-02-01,OK
2,5,Giselle Fernandez,Giselle Fernández,1,1,0,2006-02-02,2006-02-08,OK
2,6,Giselle Fernandez,Giselle Fernández,0,0,0,2006-02-09,2006-02-15,OK
2,7,Giselle Fernandez,Giselle Fernández,0,0,0,2006-02-16,2006-02-22,OK
2,8,Giselle Fernandez,Giselle Fernández,2,2,0,2006-02-23,2006-03-01,OK
2,1,Jerry Rice,Jerry Rice,7,5,1106,2006-01-05,2006-01-11,OK
2,2,Jerry Rice,Jerry Rice,7,6,18,2006-01-12,2006-01-18,OK
2,3,Jerry Rice,Jerry Rice,6,6,37,2006-01-19,2006-01-25,OK
2,4,Jerry Rice,Jerry Rice,9,8,55,2006-01-26,2006-02-01,OK
2,5,Jerry Rice,Jerry Rice,7,5,-4,2006-02-02,2006-02-08,OK
2,6,Jerry Rice,Jerry Rice,20,11,773,2006-02-09,2006-02-15,OK
2,7,Jerry Rice,Jerry Rice,6,4,-3983,2006-02-16,2006-02-22,OK
2,8,Jerry Rice,Jerry Rice,17,14,-29,2006-02-23,2006-03-01,OK
2,1,Kenny Mayne,Kenny Mayne,7,7,67,2006-01-05,2006-01-11,OK
2,2,Kenny Mayne,Kenny Mayne,1,1,0,2006-01-12,2006-01-18,OK
2,3,Kenny Mayne,Kenny Mayne,2,2,0,2006-01-19,2006-01-25,OK
2,4,Kenny Mayne,Kenny Mayne,1,1,0,2006-01-26,2006-02-01,OK
2,5,Kenny Mayne,Kenny Mayne,1,1,0,2006-02-02,2006-02-08,OK
2,6,Kenny Mayne,Kenny Mayne,0,0,0,2006-02-09,2006-02-15,OK
2,7,Kenny Mayne,Kenny Mayne,0,0,0,2006-02-16,2006-02-22,OK
2,8,Kenny Mayne,Kenny Mayne,1,1,0,2006-02-23,2006-03-01,OK
2,1,Lisa Rinna,Lisa Rinna,1,1,0,2006-01-05,2006-01-11,OK
2,2,Lisa Rinna,Lisa Rinna,0,0,0,2006-01-12,2006-01-18,OK
2,3,Lisa Rinna,Lisa Rinna,12,6,-78,2006-01-19,2006-01-25,OK
2,4,Lisa Rinna,Lisa Rinna,5,4,-220,2006-01-26,2006-02-01,OK
2,5,Lisa Rinna,Lisa Rinna,4,4,-33,2006-02-02,2006-02-08,OK
2,6,Lisa Rinna,Lisa Rinna,4,3,-322,2006-02-09,2006-02-15,OK
2,7,Lisa Rinna,Lisa Rinna,10,8,88,2006-02-16,2006-02-22,OK
2,8,Lisa Rinna,Lisa Rinna,1,1,0,2006-02-23,2006-03-01,OK
2,1,Master P,Master P,14,8,4376,2006-01-05,2006-01-11,OK
2,2,Master P,Master P,22,14,701,2006-01-12,2006-01-18,OK
2,3,Master P,Master P,18,15,218,2006-01-19,2006-01-25,OK
2,4,Master P,Master P,14,8,182,2006-01-26,2006-02-01,OK
2,5,Master P,Master P,5,4,-1382,2006-02-02,2006-02-08,OK
2,6,Master P,Master P,15,10,-53,2006-02-09,2006-02-15,OK
2,7,Master P,Master P,9,7,-766,2006-02-16,2006-02-22,OK
2,8,Master P,Master P,18,13,106,2006-02-23,2006-03-01,OK
2,1,Stacy Keibler,Stacy Keibler,9,7,-235,2006-01-05,2006-01-11,OK
2,2,Stacy Keibler,Stacy Keibler,13,9,-5,2006-01-12,2006-01-18,OK
2,3,Stacy Keibler,Stacy Keibler,23,15,208,2006-01-19,2006-01-25,OK
2,4,Stacy Keibler,Stacy Keibler,31,10,100,2006-01-26,2006-02-01,OK
2,5,Stacy Keibler,Stacy Keibler,40,20,-162,2006-02-02,2006-02-08,OK
2,6,Stacy Keibler,Stacy Keibler,16,11,-142,2006-02-09,2006-02-15,OK
2,7,Stacy Keibler,Stacy Keibler,32,23,-216,2006-02-16,2006-02-22,OK
2,8,Stacy Keibler,Stacy Keibler,57,31,-242,2006-02-23,2006-03-01,OK
2,1,Tatum O'Neal,Tatum O'Neal,1,1,0,2006-01-05,2006-01-11,OK
2,2,Tatum O'Neal,Tatum O'Neal,1,1,0,2006-01-12,2006-01-18,OK
2,3,Tatum O'Neal,Tatum O'Neal,1,1,0,2006-01-19,2006-01-25,OK
2,4,Tatum O'Neal,Tatum O'Neal,3,2,-69,2006-01-26,2006-02-01,OK
2,5,Tatum O'Neal,Tatum O'Neal,5,3,-8,2006-02-02,2006-02-08,OK
2,6,Tatum O'Neal,Tatum O'Neal,1,1,0,2006-02-09,2006-02-15,OK
2,7,Tatum O'Neal,Tatum O'Neal,1,1,0,2006-02-16,2006-02-22,OK
2,8,Tatum O'Neal,Tatum O'Neal,4,4,0,2006-02-23,2006-03-01,OK
2,1,Tia Carrere,Tia Carrere,5,5,128,2006-01-05,2006-01-11,OK
2,2,Tia Carrere,Tia Carrere,1,1,0,2006-01-12,2006-01-18,OK
2,3,Tia Carrere,Tia Carrere,3,3,0,2006-01-19,2006-01-25,OK
2,4,Tia Carrere,Tia Carrere,0,0,0,2006-01-26,2006-02-01,OK
2,5,Tia Carrere,Tia Carrere,3,3,0,2006-02-02,2006-02-08,OK
2,6,Tia Carrere,Tia Carrere,1,1,0,2006-02-09,2006-02-15,OK
2,7,Tia Carrere,Tia Carrere,1,1,0,2006-02-16,2006-02-22,OK
2,8,Tia Carrere,Tia Carrere,6,6,48,2006-02-23,2006-03-01,OK
3,1,Emmitt Smith,Emmitt Smith,8,4,-93,2006-09-12,2006-09-18,OK
3,2,Emmitt Smith,Emmitt Smith,7,7,1,2006-09-19,2006-09-25,OK
3,3,Emmitt Smith,Emmitt Smith,5,5,222,2006-09-26,2006-10-02,OK
3,4,Emmitt Smith,Emmitt Smith,9,7,21,2006-10-03,2006-10-09,OK
3,5,Emmitt Smith,Emmitt Smith,7,4,-273,2006-10-10,2006-10-16,OK
3,6,Emmitt Smith,Emmitt Smith,7,6,107,2006-10-17,2006-10-23,OK
3,7,Emmitt Smith,Emmitt Smith,15,13,-210,2006-10-24,2006-10-30,OK
3,8,Emmitt Smith,Emmitt Smith,4,3,13,2006-10-31,2006-11-06,OK
3,9,Emmitt Smith,Emmitt Smith,9,6,109,2006-11-07,2006-11-13,OK
3,10,Emmitt Smith,Emmitt Smith,53,41,-127,2006-11-14,2006-11-20,OK
3,1,Harry Hamlin,Harry Hamlin,5,4,0,2006-09-12,2006-09-18,OK
3,2,Harry Hamlin,Harry Hamlin,4,3,26,2006-09-19,2006-09-25,OK
3,3,Harry Hamlin,Harry Hamlin,9,5,119,2006-09-26,2006-10-02,OK
3,4,Harry Hamlin,Harry Hamlin,1,1,0,2006-10-03,2006-10-09,OK
3,5,Harry Hamlin,Harry Hamlin,0,0,0,2006-10-10,2006-10-16,OK
3,6,Harry Hamlin,Harry Hamlin,0,0,0,2006-10-17,2006-10-23,OK
3,7,Harry Hamlin,Harry Hamlin,1,1,0,2006-10-24,2006-10-30,OK
3,8,Harry Hamlin,Harry Hamlin,2,2,0,2006-10-31,2006-11-06,OK
3,9,Harry Hamlin,Harry Hamlin,0,0,0,2006-11-07,2006-11-13,OK
3,10,Harry Hamlin,Harry Hamlin,1,1,0,2006-11-14,2006-11-20,OK
3,1,Jerry Springer,Jerry Springer,6,5,74,2006-09-12,2006-09-18,OK
3,2,Jerry Springer,Jerry Springer,9,8,13492,2006-09-19,2006-09-25,OK
3,3,Jerry Springer,Jerry Springer,12,8,594,2006-09-26,2006-10-02,OK
3,4,Jerry Springer,Jerry Springer,12,8,-334,2006-10-03,2006-10-09,OK
3,5,Jerry Springer,Jerry Springer,4,4,0,2006-10-10,2006-10-16,OK
3,6,Jerry Springer,Jerry Springer,2,2,0,2006-10-17,2006-10-23,OK
3,7,Jerry Springer,Jerry Springer,8,8,-137,2006-10-24,2006-10-30,OK
3,8,Jerry Springer,Jerry Springer,8,7,95,2006-10-31,2006-11-06,OK
3,9,Jerry Springer,Jerry Springer,7,6,38,2006-11-07,2006-11-13,OK
3,10,Jerry Springer,Jerry Springer,4,4,-228,2006-11-14,2006-11-20,OK
3,1,Joey Lawrence,Joey Lawrence,7,6,289,2006-09-12,2006-09-18,OK
3,2,Joey Lawrence,Joey Lawrence,6,6,-16,2006-09-19,2006-09-25,OK
3,3,Joey Lawrence,Joey Lawrence,2,2,26,2006-09-26,2006-10-02,OK
3,4,Joey Lawrence,Joey Lawrence,4,4,-15,2006-10-03,2006-10-09,OK
3,5,Joey Lawrence,Joey Lawrence,4,4,0,2006-10-10,2006-10-16,OK
3,6,Joey Lawrence,Joey Lawrence,5,5,55,2006-10-17,2006-10-23,OK
3,7,Joey Lawrence,Joey Lawrence,5,5,-189,2006-10-24,2006-10-30,OK
3,8,Joey Lawrence,Joey Lawrence,5,3,37,2006-10-31,2006-11-06,OK
3,9,Joey Lawrence,Joey Lawrence,13,9,-173,2006-11-07,2006-11-13,OK
3,10,Joey Lawrence,Joey Lawrence,10,7,-187,2006-11-14,2006-11-20,OK
3,1,Mario Lopez,Mario Lopez,13,10,-289,2006-09-12,2006-09-18,OK
3,2,Mario Lopez,Mario Lopez,15,11,-44,2006-09-19,2006-09-25,OK
3,3,Mario Lopez,Mario Lopez,13,7,5489,2006-09-26,2006-10-02,OK
3,4,Mario Lopez,Mario Lopez,11,8,-324,2006-10-03,2006-10-09,OK
3,5,Mario Lopez,Mario Lopez,6,6,-28,2006-10-10,2006-10-16,OK
3,6,Mario Lopez,Mario Lopez,12,10,-205,2006-10-17,2006-10-23,OK
3,7,Mario Lopez,Mario Lopez,2,1,4,2006-10-24,2006-10-30,OK
3,8,Mario Lopez,Mario Lopez,18,11,-1319,2006-10-31,2006-11-06,OK
3,9,Mario Lopez,Mario Lopez,20,16,-429,2006-11-07,2006-11-13,OK
3,10,Mario Lopez,Mario Lopez,94,65,234,2006-11-14,2006-11-20,OK
3,1,Monique Coleman,Monique Coleman,21,13,643,2006-09-12,2006-09-18,OK
3,2,Monique Coleman,Monique Coleman,7,5,257,2006-09-19,2006-09-25,OK
3,3,Monique Coleman,Monique Coleman,11,8,24,2006-09-26,2006-10-02,OK
3,4,Monique Coleman,Monique Coleman,1,1,0,2006-10-03,2006-10-09,OK
3,5,Monique Coleman,Monique Coleman,5,4,114,2006-10-10,2006-10-16,OK
3,6,Monique Coleman,Monique Coleman,15,3,2213,2006-10-17,2006-10-23,OK
3,7,Monique Coleman,Monique Coleman,13,9,-111,2006-10-24,2006-10-30,OK
3,8,Monique Coleman,Monique Coleman,134,15,-4340,2006-10-31,2006-11-06,OK
3,9,Monique Coleman,Monique Coleman,19,10,-756,2006-11-07,2006-11-13,OK
3,10,Monique Coleman,Monique Coleman,8,5,-7,2006-11-14,2006-11-20,OK
3,1,Sara Evans,Sara Evans,9,6,33,2006-09-12,2006-09-18,OK
3,2,Sara Evans,Sara Evans,16,6,-115,2006-09-19,2006-09-25,OK
3,3,Sara Evans,Sara Evans,6,5,-51,2006-09-26,2006-10-02,OK
3,4,Sara Evans,Sara Evans,13,5,1,2006-10-03,2006-10-09,OK
3,5,Sara Evans,Sara Evans,37,18,-358,2006-10-10,2006-10-16,OK
3,6,Sara Evans,Sara Evans,60,32,951,2006-10-17,2006-10-23,OK
3,7,Sara Evans,Sara Evans,19,8,-92,2006-10-24,2006-10-30,OK
3,8,Sara Evans,Sara Evans,0,0,0,2006-10-31,2006-11-06,OK
3,9,Sara Evans,Sara Evans,7,5,-32,2006-11-07,2006-11-13,OK
3,10,Sara Evans,Sara Evans,6,5,76,2006-11-14,2006-11-20,OK
3,1,Shanna Moakler,Shanna Moakler,5,4,-66,2006-09-12,2006-09-18,OK
3,2,Shanna Moakler,Shanna Moakler,5,4,-1,2006-09-19,2006-09-25,OK
3,3,Shanna Moakler,Shanna Moakler,0,0,0,2006-09-26,2006-10-02,OK
3,4,Shanna Moakler,Shanna Moakler,15,11,379,2006-10-03,2006-10-09,OK
3,5,Shanna Moakler,Shanna Moakler,6,5,2,2006-10-10,2006-10-16,OK
3,6,Shanna Moakler,Shanna Moakler,0,0,0,2006-10-17,2006-10-23,OK
3,7,Shanna Moakler,Shanna Moakler,1,1,0,2006-10-24,2006-10-30,OK
3,8,Shanna Moakler,Shanna Moakler,6,5,2,2006-10-31,2006-11-06,OK
3,9,Shanna Moakler,Shanna Moakler,9,8,-664,2006-11-07,2006-11-13,OK
3,10,Shanna Moakler,Shanna Moakler,3,3,45,2006-11-14,2006-11-20,OK
3,1,Tucker Carlson,Tucker Carlson,48,20,-548,2006-09-12,2006-09-18,OK
3,2,Tucker Carlson,Tucker Carlson,15,9,271,2006-09-19,2006-09-25,OK
3,3,Tucker Carlson,Tucker Carlson,14,10,309,2006-09-26,2006-10-02,OK
3,4,Tucker Carlson,Tucker Carlson,18,6,199,2006-10-03,2006-10-09,OK
3,5,Tucker Carlson,Tucker Carlson,13,7,295,2006-10-10,2006-10-16,OK
3,6,Tucker Carlson,Tucker Carlson,5,4,37,2006-10-17,2006-10-23,OK
3,7,Tucker Carlson,Tucker Carlson,7,4,-725,2006-10-24,2006-10-30,OK
3,8,Tucker Carlson,Tucker Carlson,4,4,0,2006-10-31,2006-11-06,OK
3,9,Tucker Carlson,Tucker Carlson,10,6,-333,2006-11-07,2006-11-13,OK
3,10,Tucker Carlson,Tucker Carlson,15,10,338,2006-11-14,2006-11-20,OK
3,1,Vivica A. Fox,Vivica A. Fox,7,4,110,2006-09-12,2006-09-18,OK
3,2,Vivica A. Fox,Vivica A. Fox,2,2,0,2006-09-19,2006-09-25,OK
3,3,Vivica A. Fox,Vivica A. Fox,4,3,-39,2006-09-26,2006-10-02,OK
3,4,Vivica A. Fox,Vivica A. Fox,1,1,0,2006-10-03,2006-10-09,OK
3,5,Vivica A. Fox,Vivica A. Fox,4,1,0,2006-10-10,2006-10-16,OK
3,6,Vivica A. Fox,Vivica A. Fox,0,0,0,2006-10-17,2006-10-23,OK
3,7,Vivica A. Fox,Vivica A. Fox,1,1,0,2006-10-24,2006-10-30,OK
3,8,Vivica A. Fox,Vivica A. Fox,0,0,0,2006-10-31,2006-11-06,OK
3,9,Vivica A. Fox,Vivica A. Fox,1,1,0,2006-11-07,2006-11-13,OK
3,10,Vivica A. Fox,Vivica A. Fox,2,2,0,2006-11-14,2006-11-20,OK
3,1,Willa Ford,Willa Ford,26,12,-417,2006-09-12,2006-09-18,OK
3,2,Willa Ford,Willa Ford,10,8,-115,2006-09-19,2006-09-25,OK
3,3,Willa Ford,Willa Ford,10,8,1,2006-09-26,2006-10-02,OK
3,4,Willa Ford,Willa Ford,16,4,-138,2006-10-03,2006-10-09,OK
3,5,Willa Ford,Willa Ford,34,17,869,2006-10-10,2006-10-16,OK
3,6,Willa Ford,Willa Ford,5,5,40,2006-10-17,2006-10-23,OK
3,7,Willa Ford,Willa Ford,0,0,0,2006-10-24,2006-10-30,OK
3,8,Willa Ford,Willa Ford,6,4,514,2006-10-31,2006-11-06,OK
3,9,Willa Ford,Willa Ford,10,3,-183,2006-11-07,2006-11-13,OK
3,10,Willa Ford,Willa Ford,100,39,594,2006-11-14,2006-11-20,OK
4,1,Apolo Anton Ohno,Apolo Ohno,30,13,16521,2007-03-19,2007-03-25,OK
4,2,Apolo Anton Ohno,Apolo Ohno,14,8,21,2007-03-26,2007-04-01,OK
4,3,Apolo Anton Ohno,Apolo Ohno,4,2,-23,2007-04-02,2007-04-08,OK
4,4,Apolo Anton Ohno,Apolo Ohno,5,5,-61,2007-04-09,2007-04-15,OK
4,5,Apolo Anton Ohno,Apolo Ohno,13,12,-230,2007-04-16,2007-04-22,OK
4,6,Apolo Anton Ohno,Apolo Ohno,9,7,477,2007-04-23,2007-04-29,OK
4,7,Apolo Anton Ohno,Apolo Ohno,6,3,12,2007-04-30,2007-05-06,OK
4,8,Apolo Anton Ohno,Apolo Ohno,23,16,401,2007-05-07,2007-05-13,OK
4,9,Apolo Anton Ohno,Apolo Ohno,20,12,-19,2007-05-14,2007-05-20,OK
4,10,Apolo Anton Ohno,Apolo Ohno,103,61,-1878,2007-05-21,2007-05-27,OK
4,1,Billy Ray Cyrus,Billy Ray Cyrus,10,4,18,2007-03-19,2007-03-25,OK
4,2,Billy Ray Cyrus,Billy Ray Cyrus,5,4,229,2007-03-26,2007-04-01,OK
4,3,Billy Ray Cyrus,Billy Ray Cyrus,11,7,142,2007-04-02,2007-04-08,OK
4,4,Billy Ray Cyrus,Billy Ray Cyrus,9,6,-710,2007-04-09,2007-04-15,OK
4,5,Billy Ray Cyrus,Billy Ray Cyrus,12,10,345,2007-04-16,2007-04-22,OK
4,6,Billy Ray Cyrus,Billy Ray Cyrus,13,9,-5361,2007-04-23,2007-04-29,OK
4,7,Billy Ray Cyrus,Billy Ray Cyrus,21,18,44,2007-04-30,2007-05-06,OK
4,8,Billy Ray Cyrus,Billy Ray Cyrus,23,16,-92,2007-05-07,2007-05-13,OK
4,9,Billy Ray Cyrus,Billy Ray Cyrus,19,11,-241,2007-05-14,2007-05-20,OK
4,10,Billy Ray Cyrus,Billy Ray Cyrus,46,16,-1216,2007-05-21,2007-05-27,OK
4,1,Clyde Drexler,Clyde Drexler,6,5,-2,2007-03-19,2007-03-25,OK
4,2,Clyde Drexler,Clyde Drexler,4,4,-55,2007-03-26,2007-04-01,OK
4,3,Clyde Drexler,Clyde Drexler,3,3,-34,2007-04-02,2007-04-08,OK
4,4,Clyde Drexler,Clyde Drexler,1,1,0,2007-04-09,2007-04-15,OK
4,5,Clyde Drexler,Clyde Drexler,3,3,1,2007-04-16,2007-04-22,OK
4,6,Clyde Drexler,Clyde Drexler,4,3,190,2007-04-23,2007-04-29,OK
4,7,Clyde Drexler,Clyde Drexler,5,4,9,2007-04-30,2007-05-06,OK
4,8,Clyde Drexler,Clyde Drexler,0,0,0,2007-05-07,2007-05-13,OK
4,9,Clyde Drexler,Clyde Drexler,5,3,267,2007-05-14,2007-05-20,OK
4,10,Clyde Drexler,Clyde Drexler,1,1,0,2007-05-21,2007-05-27,OK
4,1,Heather Mills,Heather Mills,22,12,-575,2007-03-19,2007-03-25,OK
4,2,Heather Mills,Heather Mills,47,10,4,2007-03-26,2007-04-01,OK
4,3,Heather Mills,Heather Mills,2,1,-1,2007-04-02,2007-04-08,OK
4,4,Heather Mills,Heather Mills,1,1,0,2007-04-09,2007-04-15,OK
4,5,Heather Mills,Heather Mills,2,2,-4,2007-04-16,2007-04-22,OK
4,6,Heather Mills,Heather Mills,3,3,0,2007-04-23,2007-04-29,OK
4,7,Heather Mills,Heather Mills,6,6,-16,2007-04-30,2007-05-06,OK
4,8,Heather Mills,Heather Mills,46,5,-296,2007-05-07,2007-05-13,OK
4,9,Heather Mills,Heather Mills,3,2,4,2007-05-14,2007-05-20,OK
4,10,Heather Mills,Heather Mills,4,4,6,2007-05-21,2007-05-27,OK
4,1,Ian Ziering,Ian Ziering,22,7,-255,2007-03-19,2007-03-25,OK
4,2,Ian Ziering,Ian Ziering,9,7,249,2007-03-26,2007-04-01,OK
4,3,Ian Ziering,Ian Ziering,6,4,-30,2007-04-02,2007-04-08,OK
4,4,Ian Ziering,Ian Ziering,4,3,0,2007-04-09,2007-04-15,OK
4,5,Ian Ziering,Ian Ziering,2,2,-154,2007-04-16,2007-04-22,OK
4,6,Ian Ziering,Ian Ziering,1,1,0,2007-04-23,2007-04-29,OK
4,7,Ian Ziering,Ian Ziering,3,3,-61,2007-04-30,2007-05-06,OK
4,8,Ian Ziering,Ian Ziering,1,1,0,2007-05-07,2007-05-13,OK
4,9,Ian Ziering,Ian Ziering,7,4,18,2007-05-14,2007-05-20,OK
4,10,Ian Ziering,Ian Ziering,0,0,0,2007-05-21,2007-05-27,OK
4,1,Joey Fatone,Joey Fatone,14,14,-45,2007-03-19,2007-03-25,OK
4,2,Joey Fatone,Joey Fatone,13,9,-176,2007-03-26,2007-04-01,OK
4,3,Joey Fatone,Joey Fatone,11,7,-11,2007-04-02,2007-04-08,OK
4,4,Joey Fatone,Joey Fatone,12,10,-53,2007-04-09,2007-04-15,OK
4,5,Joey Fatone,Joey Fatone,8,6,-264,2007-04-16,2007-04-22,OK
4,6,Joey Fatone,Joey Fatone,5,5,36,2007-04-23,2007-04-29,OK
4,7,Joey Fatone,Joey Fatone,3,3,127,2007-04-30,2007-05-06,OK
4,8,Joey Fatone,Joey Fatone,12,7,312,2007-05-07,2007-05-13,OK
4,9,Joey Fatone,Joey Fatone,17,11,182,2007-05-14,2007-05-20,OK
4,10,Joey Fatone,Joey Fatone,46,28,-87,2007-05-21,2007-05-27,OK
4,1,John Ratzenberger,John Ratzenberger,23,14,66,2007-03-19,2007-03-25,OK
4,2,John Ratzenberger,John Ratzenberger,3,3,-122,2007-03-26,2007-04-01,OK
4,3,John Ratzenberger,John Ratzenberger,10,7,-36,2007-04-02,2007-04-08,OK
4,4,John Ratzenberger,John Ratzenberger,13,10,39,2007-04-09,2007-04-15,OK
4,5,John Ratzenberger,John Ratzenberger,1,1,0,2007-04-16,2007-04-22,OK
4,6,John Ratzenberger,John Ratzenberger,19,6,-344,2007-04-23,2007-04-29,OK
4,7,John Ratzenberger,John Ratzenberger,11,8,8,2007-04-30,2007-05-06,OK
4,8,John Ratzenberger,John Ratzenberger,5,4,241,2007-05-07,2007-05-13,OK
4,9,John Ratzenberger,John Ratzenberger,3,3,235,2007-05-14,2007-05-20,OK
4,10,John Ratzenberger,John Ratzenberger,10,6,-67,2007-05-21,2007-05-27,OK
4,1,Laila Ali,Laila Ali,5,4,-173,2007-03-19,2007-03-25,OK
4,2,Laila Ali,Laila Ali,11,10,-94,2007-03-26,2007-04-01,OK
4,3,Laila Ali,Laila Ali,1,1,0,2007-04-02,2007-04-08,OK
4,4,Laila Ali,Laila Ali,8,7,81,2007-04-09,2007-04-15,OK
4,5,Laila Ali,Laila Ali,4,3,23,2007-04-16,2007-04-22,OK
4,6,Laila Ali,Laila Ali,5,3,64,2007-04-23,2007-04-29,OK
4,7,Laila Ali,Laila Ali,12,11,-310,2007-04-30,2007-05-06,OK
4,8,Laila Ali,Laila Ali,2,2,3,2007-05-07,2007-05-13,OK
4,9,Laila Ali,Laila Ali,8,7,8131,2007-05-14,2007-05-20,OK
4,10,Laila Ali,Laila Ali,13,10,98,2007-05-21,2007-05-27,OK
4,1,Leeza Gibbons,Leeza Gibbons,2,2,69,2007-03-19,2007-03-25,OK
4,2,Leeza Gibbons,Leeza Gibbons,3,3,-42,2007-03-26,2007-04-01,OK
4,3,Leeza Gibbons,Leeza Gibbons,2,2,-111,2007-04-02,2007-04-08,OK
4,4,Leeza Gibbons,Leeza Gibbons,4,3,79,2007-04-09,2007-04-15,OK
4,5,Leeza Gibbons,Leeza Gibbons,0,0,0,2007-04-16,2007-04-22,OK
4,6,Leeza Gibbons,Leeza Gibbons,0,0,0,2007-04-23,2007-04-29,OK
